user_id,first_name,last_name,age,city,reg_date,plan,churn_date,cant_mensajes,cant_llamadas,cant_minutos_llamada,grupo_uso,grupo_edad
10000,Carlos,Garcia,38.0,Medellín,2022-01-01 00:00:00.000000000,Basico,,7.0,3.0,23.700000000000003,Uso medio,Adulto
10001,Mateo,Torres,53.0,unknown,2022-01-01 06:34:17.914478619,Basico,,5.0,10.0,33.18000000000001,Alto uso,Adulto
10002,Sofia,Ramirez,57.0,CDMX,2022-01-01 13:08:35.828957239,Basico,,5.0,2.0,10.74,Uso medio,Adulto
10003,Mateo,Ramirez,69.0,Bogotá,2022-01-01 19:42:53.743435858,Premium,,11.0,3.0,8.99,Alto uso,Adulto Mayor
10004,Mateo,Torres,63.0,GDL,2022-01-02 02:17:11.657914478,Basico,,4.0,3.0,8.01,Bajo uso,Adulto Mayor
10005,Luis,Garcia,61.0,MTY,2022-01-02 08:51:29.572393098,Basico,,5.0,7.0,44.97,Uso medio,Adulto Mayor
10006,Sofia,Lopez,39.0,Bogotá,2022-01-02 15:25:47.486871717,Basico,,3.0,5.0,28.389999999999997,Uso medio,Adulto
10007,Sofia,Gomez,70.0,Medellín,2022-01-02 22:00:05.401350337,Premium,,3.0,5.0,30.23,Uso medio,Adulto Mayor
10008,Sofia,Garcia,76.0,CDMX,2022-01-03 04:34:23.315828957,Basico,,5.0,5.0,28.85,Uso medio,Adulto Mayor
10009,Mateo,Torres,47.0,Bogotá,2022-01-03 11:08:41.230307576,Basico,,5.0,3.0,5.99,Uso medio,Adulto
10010,Carlos,Gomez,67.0,Bogotá,2022-01-03 17:42:59.144786196,Basico,,7.0,7.0,24.12,Uso medio,Adulto Mayor
10011,Sofia,Ramirez,60.0,Bogotá,2022-01-04 00:17:17.059264816,Premium,,10.0,3.0,6.51,Alto uso,Adulto Mayor
10012,Mariana,Lopez,47.0,Medellín,2022-01-04 06:51:34.973743435,Premium,,6.0,1.0,3.33,Uso medio,Adulto
10013,Mateo,Ramirez,78.0,MTY,2022-01-04 13:25:52.888222055,Premium,,9.0,5.0,23.93,Uso medio,Adulto Mayor
